Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,Math (18x18),Chip Globals,PLL
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/Primitives,2,3,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/arbiter_0/Primitives,20,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/delay_0/Primitives,2,2,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/delay_0/gen_delay[3].level_buf_seqshift_gen_delay[3].level_buf_seqshift_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/delay_0/gen_delay[3].level_buf_seqshift_gen_delay[3].level_buf_seqshift_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/delay_1/Primitives,0,60,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/mux1/Primitives,80,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/mux2/Primitives,528,8,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/mux3/Primitives,384,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/mux3/delay_0/Primitives,0,32,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/mux3/delay_1/Primitives,0,24,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_0/bank_bank_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_0/bank_bank_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_0/bank_bank_0_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_0/bank_bank_0_3/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_1/bank_bank_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_1/bank_bank_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_1/bank_bank_0_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_1/bank_bank_0_3/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_2/bank_bank_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_2/bank_bank_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_2/bank_bank_0_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_2/bank_bank_0_3/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_3/bank_bank_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_3/bank_bank_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_3/bank_bank_0_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_0/poly_bank_3/bank_bank_0_3/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/delay_0/Primitives,2,2,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/delay_0/gen_delay[3].level_buf_seqshift_gen_delay[3].level_buf_seqshift_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/delay_0/gen_delay[3].level_buf_seqshift_gen_delay[3].level_buf_seqshift_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/delay_1/Primitives,0,60,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/mux1/Primitives,80,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/mux2/Primitives,466,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/mux3/Primitives,384,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_0/bank_bank_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_0/bank_bank_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_0/bank_bank_0_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_0/bank_bank_0_3/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_1/bank_bank_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_1/bank_bank_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_1/bank_bank_0_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_1/bank_bank_0_3/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_2/bank_bank_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_2/bank_bank_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_2/bank_bank_0_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_2/bank_bank_0_3/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_3/bank_bank_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/poly_ram_1/poly_bank_3/bank_bank_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
