Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,Math (18x18),Chip Globals,PLL
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank3_bank3_0_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank3_bank3_1_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank3_bank3_1_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank3_bank3_1_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank3_bank3_2_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank3_bank3_2_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank3_bank3_2_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank3_bank3_3_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank3_bank3_3_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/Core_Poly_0/polyvec_ram_0/bank3_bank3_3_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/MstConvertor_loop[0].mstrconv/rgsl/genblk1.awrs/Primitives,57,108,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/MstConvertor_loop[0].mstrconv/rgsl/genblk2.arrs/Primitives,57,108,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/MstConvertor_loop[0].mstrconv/rgsl/genblk3.rrs/Primitives,77,148,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/MstConvertor_loop[0].mstrconv/rgsl/genblk4.wrs/Primitives,56,106,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/MstConvertor_loop[0].mstrconv/rgsl/genblk5.brs/Primitives,12,18,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/rgsl/genblk1.awrs/Primitives,69,112,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/rgsl/genblk2.arrs/Primitives,65,114,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/rgsl/genblk3.rrs/Primitives,77,148,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/rgsl/genblk4.wrs/Primitives,59,106,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/rgsl/genblk5.brs/Primitives,11,18,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/DWC_DownConv_preCalcCmdFifoWrCtrl_inst/DWC_DownConv_Calc_Hold_Reg_Ctrl/Primitives,2,1,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/DWC_DownConv_preCalcCmdFifoWrCtrl_inst/Primitives,185,112,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/genblk1.caxi4interconnect_DWC_DownConv_Hold_Reg_Rd/DWC_DownConv_Hold_Reg_Ctrl/Primitives,2,1,0,0,0,0,0,0,0,0
